,MSE,R2
RandomForest,0.1475080547801899,0.573826055516224
GradientBoosting,0.18052815581175702,0.478425796019577
Ridge,0.16327891933792818,0.5282615501303574
Lasso,0.34646826852958945,-0.0010012596108692762
SVR,0.14913285844412474,0.5691317424666578
KNN,0.18472832814311763,0.4662908382870318
